"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)"
2026-06-13,2026-07-12,"Static - GERD vs LPR (v1)",not_delivering,9,actions:offsite_conversion.fb_pixel_purchase,3.70333333,"Using campaign budget",0,33.33,3709,3251,1.14088,8.98625,9,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,"Below average – bottom 35% of ads","Above average","Above average","Adset 1 - Emésztési Egészség Labor",15.243924
2026-06-13,2026-07-12,"Static - A Nyakcsapda",not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,10.3725,"Using campaign budget",0,82.98,10945,9978,1.096913,7.581544,8,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,"Below average – bottom 20% of ads","Above average","Above average","Adset 1 - Emésztési Egészség Labor",6.181007
2026-06-13,2026-07-12,"Static - A Torok Amely Nem Urul Ki (blueprint)",not_delivering,18,actions:offsite_conversion.fb_pixel_purchase,4.53833333,"Using campaign budget",0,81.69,9361,8419,1.11189,8.726632,18,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,"Below average – bottom 35% of ads","Above average","Above average","Adset 1 - Emésztési Egészség Labor",13.359775
2026-06-13,2026-07-12,"Static - Miert Kohogtem 200x (advertorial)",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,4.42,"Using campaign budget",0,4.42,513,469,1.093817,8.615984,1,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Adset 1 - Emésztési Egészség Labor",10.251131
2026-06-13,2026-07-12,"Static - 11 osszetevo (aloe vera)",not_delivering,,,,"Using campaign budget",0,1.12,78,55,1.418182,14.358974,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Adset 1 - Emésztési Egészség Labor",
2026-06-13,2026-07-12,"Static - Kronikus Toroknyak (advertorial)",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,4.515,"Using campaign budget",0,9.03,791,706,1.120397,11.415929,2,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Adset 1 - Emésztési Egészség Labor",18.078627
2026-06-13,2026-07-12,"Vmake AI Vidéo Hongroise (1) (1)",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,3.65,"Using campaign budget",0,3.65,177,147,1.204082,20.621469,1,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Adset 1 - Emésztési Egészség Labor",12.413699
2026-06-13,2026-07-12,"Vmake AI Vidéo Hongroise (2)",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,3.08,"Using campaign budget",0,12.32,832,711,1.170183,14.807692,4,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,"Below average – bottom 35% of ads","Above average","Above average","Adset 1 - Emésztési Egészség Labor",18.780844
2026-06-13,2026-07-12,"Static - Az Ev Legnagyobb Akcioja (promo 2plus1)",not_delivering,,,,"Using campaign budget",0,5.83,499,408,1.223039,11.683367,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Adset 1 - Emésztési Egészség Labor",
2026-06-13,2026-07-12,"Vmake AI Vidéo Suppresseur Hongrois (2)",not_delivering,,,,"Using campaign budget",0,2.29,108,82,1.317073,21.203704,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Adset 1 - Emésztési Egészség Labor",
