"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)"
2026-06-14,2026-07-13,"Ads 6",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,3.22,"Using campaign budget",0,3.22,184,158,1.164557,17.5,1,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",20.748447
2026-06-14,2026-07-13,"Ads 7",not_delivering,,,,"Using campaign budget",0,1.45,50,42,1.190476,29,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 8",not_delivering,,,,"Using campaign budget",0,0,2,2,1,0,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 9",not_delivering,,,,"Using campaign budget",0,5.96,336,294,1.142857,17.738095,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 10",not_delivering,,,,"Using campaign budget",0,13.09,742,707,1.049505,17.641509,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 11",not_delivering,,,,"Using campaign budget",0,1.89,111,95,1.168421,17.027027,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 12",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,12.28,"Using campaign budget",0,24.56,1427,1366,1.044656,17.210932,2,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",6.351384
2026-06-14,2026-07-13,"Ads 14 native from scratch",not_delivering,,,,"Using campaign budget",0,2.64,235,227,1.035242,11.234043,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 17 - vidéo",not_delivering,,,,"Using campaign budget",0,0,4,4,1,0,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 16 - vidéo",not_delivering,,,,"Using campaign budget",0,0.03,5,4,1.25,6,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 15 native from scratch – Copy",not_delivering,,,,"Using campaign budget",0,0.45,47,45,1.044444,9.574468,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 15 native from scratch – Copy 2",inactive,,,,"Using campaign budget",0,0,0,0,0,0,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 1",not_delivering,,,,"Using campaign budget",0,1.18,87,76,1.144737,13.563218,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 2",not_delivering,36,actions:offsite_conversion.fb_pixel_purchase,6.94694444,"Using campaign budget",0,250.09,19111,17257,1.107435,13.086181,36,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,"Below average – bottom 35% of ads","Above average","Above average","Adset 1 - Static/Native",9.325443
2026-06-14,2026-07-13,"Ads 3",not_delivering,,,,"Using campaign budget",0,0.03,5,5,1,6,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 4",not_delivering,,,,"Using campaign budget",0,0.03,7,7,1,4.285714,,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",
2026-06-14,2026-07-13,"Ads 5",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,1.165,"Using campaign budget",0,2.33,83,61,1.360656,28.072289,2,Ongoing,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2026-06-28T09:21:23+0200,-,-,-,"Adset 1 - Static/Native",66.948498
