"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Ad ID"
2026-06-15,2026-07-14,"ads 2",active,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_purchase,143,1.230769,2.9,"Using campaign budget",0,2.9,Ongoing,-,-,-,176,16.477273,15,,0.193333,8.522727,62,35.227273,0.046774,10,0.29,120245941555910438
2026-06-15,2026-07-14,"ads 4",active,"7-day click, 1-day view or 1-day engaged view",3,actions:offsite_conversion.fb_pixel_purchase,531,1.116761,3.10333333,"Using campaign budget",0,9.31,Ongoing,-,-,-,593,15.699831,47,,0.198085,7.925801,228,38.448567,0.040833,30,0.310333,120245941555920438
2026-06-15,2026-07-14,"ads 5",active,"7-day click, 1-day view or 1-day engaged view",5,actions:offsite_conversion.fb_pixel_purchase,901,1.073252,3.02,"Using campaign budget",0,15.1,Ongoing,-,-,-,967,15.615305,99,,0.152525,10.237849,412,42.605998,0.03665,,,120245941576370438
2026-06-15,2026-07-14,"ads 6",active,"7-day click, 1-day view or 1-day engaged view",,,77,1.038961,,"Using campaign budget",0,1.58,Ongoing,-,-,-,80,19.75,6,,0.263333,7.5,31,38.75,0.050968,2,0.79,120245941576380438
2026-06-15,2026-07-14,"ads 2",active,"7-day click, 1-day view or 1-day engaged view",,,30,1.1,,"Using campaign budget",0,0.33,Ongoing,-,-,-,33,10,1,,0.33,3.030303,4,12.121212,0.0825,1,0.33,120245941749010438
2026-06-15,2026-07-14,"ads 3",active,"7-day click, 1-day view or 1-day engaged view",,,156,1.057692,,"Using campaign budget",0,2.04,Ongoing,-,-,-,165,12.363636,5,,0.408,3.030303,59,35.757576,0.034576,4,0.51,120245941749020438
2026-06-15,2026-07-14,"ads 4",active,"7-day click, 1-day view or 1-day engaged view",,,138,1.043478,,"Using campaign budget",0,1.41,Ongoing,-,-,-,144,9.791667,4,,0.3525,2.777778,51,35.416667,0.027647,1,1.41,120245941749030438
2026-06-15,2026-07-14,"ads 1",active,"7-day click, 1-day view or 1-day engaged view",,,302,1.334437,,"Using campaign budget",0,6.14,Ongoing,-,-,-,403,15.235732,46,,0.133478,11.414392,66,16.377171,0.09303,35,0.175429,120245941892140438
2026-06-15,2026-07-14,"ads 1",active,"7-day click, 1-day view or 1-day engaged view",13,actions:offsite_conversion.fb_pixel_purchase,2567,1.273081,5.09769231,"Using campaign budget",0,66.27,Ongoing,"Below average – bottom 20% of ads","Above average","Above average",3268,20.278458,305,,0.217279,9.332925,597,18.268054,0.111005,177,0.374407,120245942039920438
2026-06-15,2026-07-14,"ads 4",active,"7-day click, 1-day view or 1-day engaged view",31,actions:offsite_conversion.fb_pixel_purchase,4662,1.915272,5.67870968,"Using campaign budget",0,176.04,Ongoing,"Below average – bottom 20% of ads","Above average","Above average",8929,19.715534,925,,0.190314,10.359503,1617,18.109531,0.108868,638,0.275925,120245942057210438
