"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Ad ID"
2026-06-01,2026-06-30,"Ads 4",not_delivering,"7-day click, 1-day view or 1-day engaged view",2,actions:offsite_conversion.fb_pixel_purchase,133,1.270677,1.785,"Using campaign budget",0,3.57,Ongoing,-,-,-,169,21.12426,5,,0.714,2.95858,5,2.95858,0.714,4,0.8925,120245943410110438
2026-06-01,2026-06-30,"Ads 3",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,167,1.263473,,"Using campaign budget",0,4.36,Ongoing,-,-,-,211,20.663507,7,,0.622857,3.317536,18,8.530806,0.242222,6,0.726667,120245943410120438
2026-06-01,2026-06-30,"Ads 6",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,71,1.070423,,"Using campaign budget",0,2.15,Ongoing,-,-,-,76,28.289474,3,,0.716667,3.947368,6,7.894737,0.358333,3,0.716667,120245943410140438
2026-06-01,2026-06-30,"Ads 5",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,54,1.203704,,"Using campaign budget",0,1.53,Ongoing,-,-,-,65,23.538462,,,,,1,1.538462,1.53,,,120245943410150438
2026-06-01,2026-06-30,"Ads 12",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,144,1.1875,,"Using campaign budget",0,2.45,Ongoing,-,-,-,171,14.327485,1,,2.45,0.584795,3,1.754386,0.816667,1,2.45,120245943473210438
2026-06-01,2026-06-30,"Ads 11",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,23,1.304348,,"Using campaign budget",0,0.59,Ongoing,-,-,-,30,19.666667,2,,0.295,6.666667,3,10,0.196667,2,0.295,120245943473220438
2026-06-01,2026-06-30,"Ads 10",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,99,1.363636,,"Using campaign budget",0,2.76,Ongoing,-,-,-,135,20.444444,4,,0.69,2.962963,8,5.925926,0.345,2,1.38,120245943473230438
2026-06-01,2026-06-30,"Ads 9",not_delivering,"7-day click, 1-day view or 1-day engaged view",3,actions:offsite_conversion.fb_pixel_purchase,223,1.237668,2.04,"Using campaign budget",0,6.12,Ongoing,-,-,-,276,22.173913,13,,0.470769,4.710145,25,9.057971,0.2448,10,0.612,120245943473240438
2026-06-01,2026-06-30,"Ads 8",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,58,1.189655,,"Using campaign budget",0,1.72,Ongoing,-,-,-,69,24.927536,2,,0.86,2.898551,3,4.347826,0.573333,2,0.86,120245943473250438
2026-06-01,2026-06-30,"Ads 7",not_delivering,"7-day click, 1-day view or 1-day engaged view",1,actions:offsite_conversion.fb_pixel_purchase,113,1.141593,3.35,"Using campaign budget",0,3.35,Ongoing,-,-,-,129,25.968992,9,,0.372222,6.976744,16,12.403101,0.209375,6,0.558333,120245943473260438
2026-06-01,2026-06-30,"Ads 13",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,1058,1.187146,,"Using campaign budget",0,22.77,Ongoing,"Below average – bottom 35% of ads","Above average","Above average",1256,18.128981,27,,0.843333,2.149682,60,4.77707,0.3795,25,0.9108,120245943531530438
2026-06-01,2026-06-30,"Ads 14",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,445,1.348315,,"Using campaign budget",0,9.32,Ongoing,-,-,-,600,15.533333,12,,0.776667,2,25,4.166667,0.3728,11,0.847273,120245943531540438
2026-06-01,2026-06-30,"Ads 1",not_delivering,"7-day click, 1-day view or 1-day engaged view",2,actions:offsite_conversion.fb_pixel_purchase,2784,1.139368,31.375,"Using campaign budget",0,62.75,Ongoing,"Below average – bottom 35% of ads","Above average","Above average",3172,19.782472,57,,1.100877,1.796974,111,3.499369,0.565315,51,1.230392,120245943163170438
2026-06-01,2026-06-30,"Ads 3",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,75,1.066667,,"Using campaign budget",0,2.12,Ongoing,-,-,-,80,26.5,,,,,0,0,0,,,120245943369850438
2026-06-01,2026-06-30,"Ads 4",not_delivering,"7-day click, 1-day view or 1-day engaged view",6,actions:offsite_conversion.fb_pixel_purchase,6399,1.132208,20.09,"Using campaign budget",0,120.54,Ongoing,"Below average – bottom 35% of ads","Above average","Above average",7245,16.637681,154,,0.782727,2.125604,250,3.450656,0.48216,128,0.941719,120245943369860438
2026-06-01,2026-06-30,"Ads 5",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,537,1.07635,,"Using campaign budget",0,9.65,Ongoing,"Below average – bottom 35% of ads","Above average","Above average",578,16.695502,10,,0.965,1.730104,16,2.768166,0.603125,9,1.072222,120245943369870438
2026-06-01,2026-06-30,"Ads 6",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,1212,1.179868,,"Using campaign budget",0,22.06,Ongoing,"Below average – bottom 35% of ads","Above average","Above average",1430,15.426573,39,,0.565641,2.727273,49,3.426573,0.450204,33,0.668485,120245943369880438
2026-06-01,2026-06-30,"Ads 2",not_delivering,"7-day click, 1-day view or 1-day engaged view",6,actions:offsite_conversion.fb_pixel_purchase,4436,1.104599,11.28333333,"Using campaign budget",0,67.7,Ongoing,"Below average – bottom 35% of ads","Above average","Above average",4900,13.816327,117,,0.578632,2.387755,182,3.714286,0.371978,98,0.690816,120245943369900438
2026-06-01,2026-06-30,"Ads 1",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,39,1,,"Using campaign budget",0,0.79,Ongoing,-,-,-,39,20.25641,,,,,0,0,0,,,120245943410090438
2026-06-01,2026-06-30,"Ads 2",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,11,1,,"Using campaign budget",0,0.1,Ongoing,-,-,-,11,9.090909,,,,,0,0,0,,,120245943410100438
